sentence,profane,,
bagay na maray ki tukmol,1,,
Garu ka lubot Kang manok,1,,
Dae na ako maopen up nin problema HAHAHA ta kaya ko man ining itago eh,1,,
ano Casureco IV saing banda ang raot ta ako na ang mapakaray.,1,,
Dae para hadit NDRRMC okay lang ako.,1,,
punyetang bublay merry christmas po saindo gabos,1,,
Nag tataba ang babayi pag badus.,1,,
Nakulugan na ako sa inot pero sige saro pa.,1,,
Ngurusdot ka na naman.,1,,
Dawa maurag ka lumangoy pag pinadaba taka lamos ka.,1,,
Duman kita sa Babaying masakit intindihon dae mo aram kung santigwaron an o raot ang payo.,1,,
Sorry kong pirme taka na sana tig iiwal dae mo kaya ako tig lalambing.,1,,
mayong kasiguradohan ang mundo pero sigurado ako masuwayan man sana kamo.,1,,
Atsyan na kita maturog mga limang shared post pa.,1,,
dae ta masasabing ako lang ta iba man baga daa si kaiba mo kang sarong aldaw.,1,,
Nyan selos selos ka pa kaya yan lugod malaya ka na.,1,,
huy beshy turugi na dae kaman kayan padangat ay jusko!,1,,
Ang matataram ko lang sa mga oras na ini ay shet.,1,,
Sana magkajowa kana maribukon ka kaya igdi sa epbi.,1,,
Bukod sa miss kuna ang uran miss taka naman.,1,,
bako gabos na tios gusto kwarta ako tios man pero ang gusto ko lang ika,1,,
Ang mag good night saku magkakakwarta saaga.,1,,
paki riparo man tabi ako.,1,,
Pagal na 'ko magselos update mo na sana ko 'pag naagaw ka na.,1,,
nangluluya ako dae ko aram kung kulang ini sa lambing o kulang sa kwarta.,1,,
Malain pagmati ko garo gusto takang makaibahan.,1,,
Sa ngaran kan adobo higado asin minudo imbitaran man nindo ako pag fiesta saindo.,1,,
naging ex man ako pero dae lamang ko nainggit sa pinalit sako nahirak pa ngani ko.,1,,
Agawi na ralapo ka jan.,1,,
nasibang ako liwuyi daw sa ngudoy,1,,
Pag aram mo nganing bako saimo dae mo pagkiragon walupon taka.,1,,
so naki fiesta samo kinagat ning ayam gadan.,1,,
Turog na mga daog sa pag ibig.,1,,
Nabaritaan ko pirme ka daang tulala.,1,,
Padabaon mo sana ako itatao ko saimo ang kabanga kan Goa.,1,,
Bukod saimo pig iisip ko man na sana maka purot ako sangribo sa agihan.,1,,
Ngiritan mo lang ang mga tawong nanraraot saimo arug talaga kaan ang ayam nagbabatok pag dae bistado ang tawo.,1,,
Ang status ko ngunyan ay namimiss ang kwarta study first,1,,
Linyahan kang mga deputang habo sa makanos ng nagastos ko.,1,,
magkakan kana malditang softhearted na perming tama.,1,,
Pwede man sanang relasyon nindu nalang maraot tadaw ta tsinelas ko pa.,1,,
Duman kita sa babaeng pigtatandol ang payo pag dae kita nagkakaon.,1,,
Ang kapatalan ang magadan hahahaha,1,,
Minsan mamundo ako minsan maugma dipende siguro kung igwa akong kwarta.,1,,
Kaya palan sibot-sibot ka mag alay lakad ta libre ang pag kakan.,1,,
Abo ko makidnap ta ako nalang ngane maitsura digdi sa harong mawawara pa.,1,,
Pagal na ngani sa trabaho dae pa binibaby.,1,,
tangina iyo tulos nagbutwa,1,,
hamag na gayon kang hell university dae na naman ako kaini makakagibo ki gibuhon sa skwelahan ,1,,
tanga ika ngane number one sako,1,,
bulini gari ka si presidente kan aki kumasta gari man natribun an alimantak,1,,
hayop banggi na naman late na ako,1,,
dati ba kamong ulol?,1,,
lusi mo maduga ka,1,,
hayop feeling ko may mangyayari sa emperyo atyan na alas dose kan matanga baynte na lamang si belle,1,,
dipota ma ala una na boi,1,,
aram ko na an ugaling an bako ako boi,1,,
lusi mo cyrus garu ka dipota na hayop ka,1,,
bobo ito literal na bobo,1,,
pre bako ka jan ayp igakilig ako haha,1,,
dipota dakula na ako,1,,
sa kadakol na probkema sa mundo jan pa siya mina kasta. Sana lumaog man sa kokote niya an ibang bagya bobohon ampota,1,,
nem deserve mo an bobo,1,,
tnagina nindo nagahibi na ako dae nindo agkarawan namamati ko. Dipota,1,,
hayp dae ko aram kung dae talaga nagagana o lag sana ini,1,,
pogion and bangtan hayop an,1,,
boi hilinga may bobohon,1,,
dipota,1,,
la salle bako kamo arog kaan pakarayon nindo an kasta nindo. Minsan na sana ako mina support saindo,1,,
diopta ka si amary pinaka maalsom digdi. Bobo,1,,
puta siramon sipaon an piday,1,,
dipota talaga dae ko an aram kung masaen ako,1,,
hayop guna ko edited,1,,
syempre namumundo man ako. Ano huna nindo sako pirmi bua bua urualdaw,1,,
dipota man,1,,
gari patal nakakamati man ako ki selos,1,,
hayop naubos mo na tulos ito,1,,
ayp bugahan ba naman ako,1,,
sa gabos na naghil9ing dipota kamo,1,,
nahiling ko na naman dipota,1,,
lusi nindo muya ko talaga ki ikos,1,,
nag kakalase ako diba? Hayp man na bobo,1,,
lusiii mo sabog su notifications ko,1,,
kinamumuhian buda kadirion na hayp lalo nab su inot na part na update lan panels. ,1,,
Dipota dae ko kaya basahon maka cringe-on haha,1,,
magayunon na hayp,1,,
nyam dipota makaation ka pero namamti kan puday ko maka crush back kana,1,,
hayop humalat makawat pa kami ni kino dipota,1,,
halat hayp kakauli ko lang,1,,
hayop na dipota makaluyahon sa boot,1,,
ano man pakyu ka weverse,1,,
mali su grammar sorry na ngane ta dangag si tala,1,,
dipota kamo si cheol inot nag abti kay junhui,1,,
ay pota may due pa palan sa english hayp.. Bahala na malukso na sana ako sa dagat haha,1,,
dipotang anxiety ini,1,,
research ka guna bobo bago mo ibalik sako,1,,
dipotang driver an,1,,
dipota ano ano ini,1,,
hayop muya ko manapak ngonyan ha. Dipota,1,,
bako lang daa su db fans buda solids an magduman diba. Dapat icredit su iba pero kasalan kan db fans kung nata dae napano haha dipota,1,,
dipotang an porke dae ko nilowdan su hayp dae daa ako bisto,1,,
bobo talaga. Warang purupundo,1,,
ako na nabubua na kay jada saw,1,,
hinapot ko lang haha pakyu,1,,
hayp guna ko lamang makaogma pag solo sa harong haha maka munduon palan,1,,
hayop haha marabasaon ,1,,
minsan na sana ngane maghilingan dipota naligis pa,1,,
hayop seryoso talaga,1,,
ay may arog palan kaini hayp,1,,
dagiton na oh bobohon kaya an buong pamilya pinabayaan ka sa kasilyasan,1,,
so ano ngonyan ika may natapos ka na lamang haha bobo mo kaya jilian. May scandal ampota kaation,1,,
hayop dae kamo makahalat? Jusko,1,,
dangagon ka gela,1,,
hayop ka mark lalo akong nagkakagusto saimo,1,,
mga dipota haha kapay nag kasta naman si vp epal man sa mga malasok nida. Mga dipota,1,,
iyo ade Narealize ko na sa gabos kong  namidmidan buda nakiaba ika sana su nakaka aram na ranihon ako ki pirmi nambabaya sa paros tas aarugon mo man palan,1,,
feeling makusog ampota kaya wara nagahiling saimo ta,1,,
hoy su hadit ko hayop,1,,
kung puro unboxing nahihiling ko sa fyp ko sus dae kana mag expect na matipid ako ta dipota inggetera ini,1,,
may aki kang tawo hayp dae ka pa kaan naogma bobo ka ba,1,,
pota matibay ano ito,1,,
hayp kung tunay na may world tour si taylor marie next year bulini maski ubuson niya pa kwarta ko,1,,
iyo ta bobo ako,1,,
bobo ka ba Nag babuff ako tas marani ka hayp,1,,
hoy dipota kamo ano ito ta nangkikigkig kamo,1,,
hayp pati replies naga agi naman sa timeline dipota,1,,
hayp may problema ba sa pag deactivate sa fb kasuhapon hayp dae naga asir,1,,
tapos iisipon mo na gibuhon an na mga bare minimum na an ay sapat tapos samo mo isusumbat kung saen ka nagakuha ki kwarta tangina mo boi buhay mo an,1,,
hayp makagadan na palan an tawo na nakakuno ang angog,1,,
igakilig man giray ako saimo hayp ka,1,,
ulol ining trio na ini talaga ano,1,,
papasinsunon an ayp,1,,
lusi mo. Block-on taka lamanag. May message ako saimo dae mo lamang ig seen,1,,
nata pa nindo ako igahapot kung genshij player ako dae ko ngane an aram na hayp ,1,,
boi dipota ka daa sobrang bobo mo haha,1,,
hayp na mga tawong ini puro anas haha,1,,
hayp na kanos kan bagong logo sa bsp ayp magayon pa su kan dati daeng kupas,1,,
hayp ka talaga,1,,
wara ka bang sadiring buhay na hayp ka ta kaipuhan mo pa maghabas sa buhay kan iba bobo mo khloe,1,,
hayp na paslo kinaon su panos nang maluto,1,,
anu na twitter wifi mi ba may problema or ano dipota ka,1,,
su recitation painutan magpasa ki papel ki madam kaya syempre nag pwesto ako duman sa inutan para maitao tulos. Matali man siya pero hayp na boobo sa morals buda misogynist pa ampota,1,,
lusi dipota,1,,
lusi mo dare mo na an,1,,
hayp chapter eighty na palan ako guna ko chpater two pa sana ayp,1,,
hayp na kababluy ngonyan na aldaw huhu dakulon pa akong gibuhon pero dae lamang namomotivate mare,1,,
hayp buyong ka na naman,1,,
dae kang supog. Ka aga aga ipikon mo ako hayp ka,1,,
lusi gari habo ko na mag college,1,,
hayp na gayon kan music video dipota gari muya ko mag wala,1,,
kauragon talaga an terminal waiting are,1,,
pag dae mo nirespeto ina ko dae mo din deserve an respeto kong hayp ka,1,,
hayp na gayon sa pagmati ,1,,
hayp basher  talaga ampota maski nuaren haha pero tama man haha,1,,
hayp natumba ako sa hampang kan hayop na cleats na ito,1,,
lusi nindo kupal ,1,,
iyan an rason kung nata habo ko sabihon saimo na hayop ka,1,,
lusi hayop ta napansin na naman ako,1,,
maka bobo ampota guna mo siya bako,1,,
hanep talaga hayop na dipota na an,1,,
hayp sad song palan ito bobo ngonyan ko sana naaraman na matali ka man palan haha,1,,
mainiton na dipota,1,,
bako man ako lalaki para gibuhon ito hayp na dipota muya ko man maranasan an,1,,
lusi na dipota kan pldt,1,,
ay hayop na gayon kan nag butwa naman para kay nasu na kidnap su piday,1,,
attitute edition pakaray kan buhay anji dapat dae ka magbobobo. Pasalyubong anji pag milyonaryo kana deserve mi ki dulsi excited na ako para ki anji huhu pero pirmi man pero omg si anji nakikidscount an hanep maski dos sana an saro haha,1,,
buahaon ka talaga maski nuaren jah,1,,
bako siya arog kaan tanga,1,,
hayp an nag paaram na ako kasubago tapoas nag chat giray sako tas ako na bobo reply man tulos haha dapat nag katurog na sana ako,1,,
bobo haha buahon ka doc,1,,
ika gayod an minor no dae kang kauragi kaya palan bobo ka tas madalion pa lansihon nadakop sa ngaspak mo haha,1,,
hayp kayang jungwon,1,,
pabayaan ko na sana bang arog arugon na sana ako kaito haha mag lusi,1,,
hayop halat daw punduhan guna nindo ako muya ko guna mapundo habo ko guna mapangirit sa mga chat nindo hayp kamo,1,,
dakulon kamong naginibo mga hayp,1,,
hayp ulukon ako depota,1,,
mga bobo,1,,
ano kasalan na naman ni gd gabos nman sana saindo mga dipota dae man naging sinda haha,1,,
hayp an sabe ko sa tugang ko hala yaon si billie tapos sabe naggad kaan sisay si billie ako si billie su friend ni belle tapos ampota sabe nanaggad billy crawford sana an aram ko bestfriend palan sinda ni ate haha ano man an beh,1,,
sige sisay na bobo,1,,
hamag na kuya bubs su hadit ko sa ig post mo igakarawan kita,1,,
inusan ako na ayp gari bakong pamilya,1,,
balon ko sa baguio su kabadtripan ko na dipota,1,,
si kael pakyo mga beh bako si kael from kodigo ha iga mean ko su kael na manliligaw ko na gago,1,,
ako man lusi mo,1,,
hayop inulian su speaker haha,1,,
pangiton kana ngane pangiton pa an taste mo sa lalake bobo,1,,
hayop man kaya na dipota bobohon man kaya,1,,
aram kong ako ini pero tunay man kaya bwiset na hamag,1,,
lusi nindo mga fourth year na hugakunon kung sisay pa su mga fourth year ginibo nindong leader tapos dae kamo maniro pag nagahapot sa gc haralion ko kamo sa grupo mga dipota,1,,
hayop kamo,1,,
maray akong tawo sa maray sako pero mas tarantado ako sa mga tawong iyo man sako,1,,
hoy hayop ka dae ka nan a-accept,1,,
kasi iga mean ko na halos sarong bulan na baka ugwa kanang iba diba pero sige na makaturog na sana ako hayp ,1,,
kung mag focus kamo sa comeback mga bobo,1,,
hayp na hisdal mo makamunduon,1,,
may mas dangag pa palan kesa sako,1,,
ay hayop na bobo mo talaga,1,,
grabe talaga ito igkilig ako na hayop,1,,
siguro ginibo an haikyu roleplay na an ta para maging bobo sa internet,1,,
oa-hon ka kaya gari dipota,1,,
minsan gari nakakabua an tadhana eh,1,,
pakyu sa spolier kan bridgeton hayop kamo,1,,
feeling ko kinarawan sana kami kan mga photographers na an hayop sinda gabos may kulog ki boot,1,,
fliptop ka ki fliptop wara ka amn laptop huni tissue punasan mo luha mo tarantado,1,,
manitonya bobohon,1,,
concert nagne ano muya mo sampulo sana kamong maghiling bobo ka man talaga,1,,
hayp an ig search ko su billie torres guna ko artists ampota iba man nag iba gago man haha,1,,
hanep man pano ako kaini magkakaigwa ki pag asa buda boot na mag college kung igasabihan nindo akong pumundo na,1,,
hala haen ang collide au hayop,1,,
pakyu ka ba,1,,
bobohon ka,1,,
sa teumes buda sa ibang fandom punduhan nindo si yedam mga dipota kamo hiatus su aki pirmi pa nindo igadamay baka sapakon ko kamo wala tuo,1,,
please dae na kamo mag bukas ki shop kung wara kamong emergency funds dae ta pagsayangon an oras kan lambang saro pota,1,,
hayop na an dapat talag nagkaturog na sana ako kasubago pa,1,,
ako pa gigibuhong tanga,1,,
dangagon ka feeling matali inadalan mi na an sa economics,1,,
guard may dangag po digdi,1,,
kasubago pa ako pamata mata dae pa ideretso,1,,
hayop kayang isntruction an dae pa kaya ideretso,1,,
james dean daydream ampota mga bobo,1,,
ikauduon na ako depota,1,,
tangina mo gari ka kasta,1,,
iagi mo na sana sa pag ulok kesa magpaka dangag ka jan,1,,
habo ko na kahuron si hsaline parehas kaming bonak,1,,
hayp arog palan kaito naghanap pa akong toothpick,1,,
hayp gwapo met talaga ems haha,1,,
hala putangina may grades na,1,,
shet pirang minutes na sana maurulian na,1,,
dangag po ako,1,,
si bonak pag aram niyang dagit ako pipaulok ulok pa ako maski iuyaman na ako saiya,1,,
ang ending daog sa trashtalkan pa haha paraas na ako lalo pa nagparaas,1,,
punyeta ka haha umiba ka ha,1,,
tangina talaga kan mga iresponsableng members sa research group sana dae makaiba pangaran nindo sa paper hayop kamo,1,,
full time job pa more dangag oh ano di wara kang nabasa ngonyan na bulan,1,,
manraraot ka na naman na depota ka,1,,
bobohon su referee,1,,
sabi ko kaya heart pakyu ka lugod sako,1,,
bobohon no awit haha,1,,
gago ka ah,1,,
wala kamong pake gago nata kamo arog kaan tangina,1,,
di ko kikaraya si jimin punyeta napasuriyaw ako,1,,
makatakuton mag biyahe,1,,
ulol mo wala kang taste,1,,
bobo ni joshua,1,,
putangina makadagiton su pagal kana ngane ka na tapos su ginibo mong pahingalo muya ka pa pagalon physically tas mentally hayp an talaga,1,,
literal na nag apod lang para mampikon ah haha,1,,
pakshet kamo gabos,1,,
wara na ki delivered na check su messenger ko puta,1,,
sarong semana na sana kralasehan na putangina dae ko mati su bakasyon,1,,
dae ko sana ini nararanasan kung dae kami binayan ni papa putangina,1,,
gago peppa pig ngane emo haha,1,,
masyadong papansinon man ining si charlie puta na ini,1,,
luseh habo ko na haha,1,,
hayp ginibonh self study tapos muya sa aga na tulos ipasa su research pakyu habo ko na mag klase,1,,
ang i sa mbti ko ay iuragan na ako punyeta,1,,
edi mag iriwal kamo dyan mga ulol,1,,
anong kawat an puta nata su score ko haluyon mag andar na hayp,1,,
seungmin ulol na ulol na ako saimo,1,,
pucha su duwang account ko talaga su nalock,1,,
bwiset igkikilig ako,1,,
edi putangina mo gago tangina pakshet putangina mo gago ka tangina mo bwiset ka letche ka tangina mo gago ka,1,,
gari na kamoing bobo buda isip aki ma tratrauma nindo su iba nindong aki,1,,
pakyu sa masunod may magtataga hatod na sako pero what if ako su magtataga hatod haha,1,,
tangina su hadit kan puso ko ko sa notifications sa instagram ni donny ho putangina haha hithit pa,1,,
dae na naman ako nangingiturog puta,1,,
pakshet mga beh makaogmahon,1,,
kupal itong mga chismosahon dae pa minatirigbak,1,,
gago may nagllive sa tiktok album pc,1,,
user kenjieut sa roblox muya ko lang sabihon saimo na putangina mo makauragon so much sabing dae magdigdi sa harong kuliton ka hayop ka pag ako nagadan,1,,
iba talaga nagiginibo kan banggi hays gago muya ko na ki crush,1,,
puta gayunon ni faith haha,1,,
tanginang ini pati typings napansinpan amputa pwes mabataon magtype,1,,
tapos puta pag hiling ko sa friend request yaona tulos tapos nag message tulos sako what the hell,1,,
pogion si han halat punyeta,1,,
sisay na dangag ang dae tatao mag drawing na heart na pantay edi ako,1,,
baka madagit kamo pag nagsimp na kami kay pablo ha arog talaga kaan aram mi man na kupal siya,1,,
bilog na harong parong asu ki sulo punyeta,1,,
mas maray pang mag saro na sana ako kesa makaiba kamo mga maribukon ampota dakulon kamo masyadong sisabe naturingan pang mag mag kakaiba kita sa harong inaniyo,1,,
gago dangagon ako shit,1,,
may class observations sa aga and here i am nagbabasa huhu punyeta tatapuson ko ini bago magkaturog hibi malala haha,1,,
kunyari dangag haha,1,,
putangina mo gago tarantado ulol punyeta buwisit,1,,
future jowa na sana nawara pa dangag mo lods haha,1,,
pakyu ka pag dae mo diyan,1,,
delikado naka ngirit na naman habang naga sandok si dangag,1,,
ika man ulol,1,,
aluh zui magayunon ka pucha,1,,
haha gago pumundo ka na sana,1,,
gago saen ito haha,1,,
gari akong dangag diyan,1,,
dangag late na ngane haha,1,,
pakyu ka prinitos mo ako gago,1,,
grabe makamunduon buda makulugon punyeta,1,,
deserve mo an na maging kabit putangina mo kulang pa an sa ginibo mo sako tarantado ka haha,1,,
pakyu igainom ko alak mo tas i chichismiss mo ako pakyu ka,1,,
ulol dry-on talaga,1,,
humalat ka magvaviral kang kupal ka,1,,
pasabaysabay pa bwiset,1,,
punyeta nata dae nadelete old instagram ko,1,,
tarantado ka talaga bentong dipisilon pigapagibo mo sako tas uulukon mo lang,1,,
grabe su puso ko pucha,1,,
pakshet ang naghabs kan kambing ko,1,,
inot ako saimo ulol,1,,
tangina miss ko pisay pero pagalon na ako this week,1,,
good night magkaturog kanang punyeta ka,1,,
wara nang pag asa puta,1,,
wooh pigpapahalangkaw talaga ni kuya mo donny standards ko like the way siya mag set up plano gabos gabos putangina so green,1,,
kapagalon maki iwal tangina may limit pa,1,,
bobo ka ba sa pcgg yan at darahon ninda sa court ang kaso kan mga marcos,1,,
ay aram mo ba yaon ako jan dati kaso naghale ako dangagon ako haha,1,,
tangina niyo haha,1,,
tarantaduhon eh,1,,
bitis is the new pakyu,1,,
haha pucha gusto ko sinda kaya pano ko magiging kaiwal an tawong an,1,,
putangina nasusuka na naman ako,1,,
mga tarantado haha,1,,
hello naman saimo haha tangina mo ala una na nag online bampira ka ba,1,,
tangina arog palan kaini kaogma pag kaya mo na butasan su mga bagay na huna mo dati dae mo kaya mawara,1,,
tangina na face mask an dakulon na tigyawat pakshet,1,,
ako an nahihirak sa pamangkin ko putangina,1,,
dipisilon maglaba ki puting medyas pakshet,1,,
nata dakulon na bobo ngonyan,1,,
dangagon ka man talaga,1,,
wara na bua na naman ako digdi sa bias wrecker ko,1,,
dangag mo slight,1,,
mamalason magiging piday ni rosedin at lalakero an tarantado yan,1,,
pakyu sese nang babaliktad,1,,
punyeta pagal na ako umasa,1,,
wara akong close na barkada pakshet,1,,
lord tawi man po ako ki halabang pasensya please dakulong kupal sa palibot,1,,
tangina dae ako naghihiling na liga tapos ngonyan maski harayo igahiling ko man giray,1,,
makulugon an lugad sa payo ko punyeta haha,1,,
dae ko narecover puta wara din sa icloud,1,,
pucha nata gari nag iba an twiter ko,1,,
kaya ka pangiton tanga ka,1,,
bwiset na bulldog an,1,,
haha pakshet tama ba haha,1,,
magsarado ka na ulol,1,,
tanga kikay,1,,
tanga sabi mo man talaga,1,,
bako ako arog kaan sa ibang tawo sa sarong tawo pa man sana ako nag first move pakshet ka,1,,
haha tangina mo charm,1,,
nata po ako dangag po ako,1,,
putangina gago ka,1,,
tangina gago puta  tangina amputa iuyaman ako sa magurang ninda gari ano basta pakyu sinda,1,,
expression ko na gari putangina,1,,
bahala kamo tangina nindo gabos,1,,
nata mo ako tigmumuda ate carla gari ka man gago,1,,
minsan man sana tarantado ka ace,1,,
kasuarin ka man bako bored dangag,1,,
tigsisiba nanaman ako kan mga lamok pakshet,1,,
salamat mhie beh nabigla man ako na gari pakyu talaga ,1,,
dae na mag mag myday punyeta dae mo man sana mahihiling,1,,
maka bwisiton talaga an subdivision mi pucha,1,,
nem gulay daw pucha,1,,
habo ko na mag iba guna ko tunay mga bua bua kamo,1,,
pucha mag chat ka man daw please,1,,
pucha ulukon ako,1,,
tunay gago ka makanuson ka,1,,
nata may kupal,1,,
ugwa man kitang kwarta nagne makapag draw dae mo lang talaga bistado na maray su tawo pero kung makataram kang dangag sa team mo guna mo bako ka dangag ah mas dangag ka ngane tangina mo,1,,
nagigigulok ako sa ginibo ko pota iba talaga nagigibo kan lutang,1,,
dipota talaga an piday mo jimmy kung ako dae taka aarugon kaan ,1,,
pakshet kaipuhan nang magbakay sa mga gibuhon pucha,1,,
nata arog kaini,1,,
haha padaba taka puta,1,,
kamo na jake gari na ikakagadan nindo gabos na nahihiling nido mga putangina mga makaation an isip nindo ,1,,
kabag sana ini tarantado tlaga ako sa mga arog kaining oras haha ,1,,
matibayon magbaliktad ki istorya pucha ,1,,
habo ko na pati multo tarantado na,1,,
ngonyan ko sana nahiling pucha pero tunay man ,1,,
haha tanga barkada ko man an,1,,
kyuton ka pakshet ka,1,,
sungtaro fixed unit guna tangina mo sm,1,,
eh dangagon palan ako ginibo ko na bilog na script mi ,1,,
tangina si eddie pa talaga an ginadan pakshet,1,,
pakyu haha maogma ako kaya dae mo ako pagpadagiton,1,,
busy sa acads dae maka post ki kabuahan si ante,1,,
dangag ba siya,1,,
bwiset na hybrid an very mapagalon ha,1,,
kususgon ka brad pangeton an kupal ka haha,1,,
gago makamisson palan mag inom ki grabe,1,,
hanggang ngonyan bobo kaman giray haha,1,,
tarantado an padi na an,1,,
bwiset kamo,1,,
hoy levi gari  nagtaba ka dae ka kaya paratambay tambay sa kusina makulugon kamo sa talinga ,1,,
huwaw pakyu ka palan,1,,
sabi ko pa naman makaogmahon magstan ng wayv ta walang military service ang members pero puta haha,1,,
kulugon kamo gago haha,1,,
putangina tama na please lang,1,,
putangina jae haha,1,,
tangina anong ipair ko digdi,1,,
punyeta ka ate,1,,
halangkawon kamo pakshet,1,,
ulol ka ba balak mong magpagadan,1,,
haha bwiset man,1,,
ulol haha ka daebed jong cook,1,,
pakyu kayong dalawa,1,,
bardagulan palan muya mo eh dangag ka,1,,
clownshit ining si aryan eh dangag dangagon man,1,,
putangina masahulon kamo mga hayop kamo,1,,
ulol haha gari warang aki ha,1,,
wara akong picture punyeta,1,,
almost the same lang kami ng username pero bako ako scammer putangina,1,,
dae ako maka tweet ki dakulon ta su data ko puta muya ko na mag uli,1,,
ig aragd ko mga barkda ko puta sineen sana ako ,1,,
ulol dae ko na an kakahuron giray haha nagdudusa na ngane ako uru aldaw nata ko pa babalikan an,1,,
habo mo pag private tas dayon mga punyeta kamo,1,,
tanginang an,1,,
kupal na dado pigpipikon haha,1,,
pakshet please po,1,,
kadirion mga tropa ko puta mga misogynist na ngane tapos insensitive pa tangina nindo mga bwiset,1,,
nakwestyon ko bigla an pagiging straight ko pucha naghahanap ako ki lalaking gwapo sa boracay pero babae mas napansin ko,1,,
siguro may mabago haha ill set my limits siguro medyo tarantado kasi akong kahuron eh pero pag may nakaka interact ako na minor i treat them as my lil sis bro,1,,
pakyu ka oy haha,1,,
igkukurab ako mag check kan grades ko pakshet haha,1,,
nabawasan an mga bobo sa pinas kamo,1,,
dae na nawawara sa isip ko su picture ni hannie na nakaluhod kay chan haha pakshet ,1,,
dae ko na ata kakayanon an next episode makulugon pucha,1,,
putangina mo isab haha,1,,
wara talaga haha pakshet,1,,
malion pucha,1,,
katakuton pati bad influence na pag hiling ninda sako tas dagdag na bobo pa ,1,,
comfort song ko talaga an gonna be okay pero pucha makulugon ah,1,,
gago saktuhon man haha,1,,
davil dangag ka,1,,
sisay na bobo putangina mo,1,,
sorry gago nagigiulok lang syempre tawo man ako,1,,
muruyahon talaga arugon kan mga kupal si dj,1,,
cinareer mo an pagiging dangag,1,,
tarantado ngane an si doc,1,,
dangag ni clive dai pwedeng bonggets,1,,
grabe pogion pakshet,1,,
ulol haha tuktok ka sa kahoy jan,1,,
inibahan ako ni ichan magbakal sa saod ta revealing daa sulog ko tarantado,1,,
pogion ayp anhinali ko su  pretzel dp,1,,
lesson learned inuton iplay ang illusion buda ishuffle ang aespa playlist ta punyeta spaced out ako pirmi makakigkigon an intro,1,,
tarantado ka man talaga bib haha,1,,
hay nako nanggani na ngane kamo ugaling ayam na nabubua pa kamo ,1,,
huy gago ka,1,,
putangina mo dakulon na nag message sakon pakshet ka gago,1,,
putangina nindo ang pogi sisay an,1,,
tangina talagang typo,1,,
makaogmang aldaw kan mga magbabararkada mga pakshet padaba ko kamo ,1,,
makauyamon an ugali puta,1,,
psst maissue ka may pamilya na ako bwiset,1,,
kung sisay man nag hack kan mobile legends ko pakyu pero salamat man ta naputol lose streak ko sa rank ,1,,
grandma amputa grandpa dapat kamo na muna nagadan putangina niyo mga pandok perak,1,,
putangina mo pakyu sagad,1,,
mahibi na ako bwiset habo nido ako ikaag sa circle nindo,1,,
si mark gari pakshet,1,,
muya ko man lumaban putangina kasubago pa ako iuyaman sa kumunoy na ito jusko,1,,
huntong mga anti ki dream guna mo man talaga magibo ki kabuahan tas kan napansin matago o mawawara panindigan nindo kaisugan nindo mga punyeta paraot ki aldaw ,1,,
sabihon nindo racist kamong mga kupal kamo dae nindo pagrauton pagka excite ko kay hobi ,1,,
puta donny makukulugan na naman ata ako sa ipopost or istostory mo sis,1,,
nagigiulok ako sa karautan ko,1,,
nata kaya bobohon ka,1,,
dangag ka na talaga joseph,1,,
bwiset na drawing an nakakaraot ki mood ,1,,
bwiset ka bako man ngane ako kaito,1,,
bwiset lamanag habo ko na atyan na ako makawat,1,,
pakshet tigkikilig ako tangina,1,,
sisay ka kupal haha,1,,
nakinabang kamo sa number ko eh mga punyeta kamo,1,,
tanga okay lang makusog ako bobo,1,,
dangagon ako,1,,
putangina ni sam may tighihiling si mama sa cellphone tapos biglang nag apod hinablot ko tulos tas kung jowa ko daa pakyu,1,,
kulugon an ano ko pucha,1,,
hala tangina haha sellernim,1,,
pakyu ka palan eh,1,,
ulol itong codm pakyu,1,,
su lalaking dangag na kaiba ninda nagadangog ata sa conversation mi tas he thought na su word na paslo ay para sainda,1,,
dangagon ako mag handle pota,1,,
jose antonio san vicente ang pangaran kan kupal,1,,
its been years warang nagbago tarantado ka man giray please lang magsawa ka na sako,1,,
tangina puro na sana kulog ki boot igatao nindo sako haha ,1,,
ulol tamo tampururot ini,1,,
anonymous tas kinaag su pangaran haha nasupog ako bigla,1,,
mas okay pa su kinupal ka ta kupal ka,1,,
punyeta managgad talaga an pagkamoot na an,1,,
dae ako sanay magcontact lenses naninibago ako bwiset haha nacoconscious ako putangina mas namamati ko titig kan mga tawo pag naka arog kaini haha,1,,
puta dae man tinuro,1,,
punyeta ka dae mo ako pagkahurunon,1,,
may maraot ba sa kapeng ginigibo ko pucha nagkape ako kasubagong aga tapos ipirot man giray ako,1,,
haha halatang dai nagbabasa ki news paper ang mga kupal,1,,
guna mo man pigpapasahod ninda mga driver na kupal,1,,
pakyu lumayas ka daw,1,,
as a pair collector tigkikilig ako ki malala pucha magayunon pagpataningon giray haha,1,,
pigpaparatabil mong mong ulol ka,1,,
habo sana kaan mag amin pero iyo bobo siya,1,,
bwiset na spam message guna ko lugod buyer,1,,
siramon ang taho pucha,1,,
ulol magpila ka muna,1,,
tarantado talaga ako pag banggi shit,1,,
bwiset kamo gabos,1,,
puta mga makusugon sinda,1,,
hi daa po sa taga dlsu sa sayout ko may friend akong pretty na tarantado chat mo daa si lee renz,1,,
tangina kaya kan b word eh,1,,
putangina mo pakyu gago,1,,
