<<<<<<< HEAD
Language,Sentence,POS,Censored Sentence
tagalog,hindi iyan kinakain bobo ka talaga,|HINDI|RBF |IYAN|PRO kinakain|VBTR|VBOF |BOBO|JJD |KA|PRS |TALAGA|RBT,hindi **** kinakain **** ka talaga
tagalog,Paano mo nalaman eh tanga ka naman noon pa,|PAANO|PRQ |MO|PRS |NALAMAN|VBTS |EH|FW |TANGA|FW |KA|PRS |NAMAN|RBI |NOON|RBW |PA|RBI,Paano mo nalaman eh ***** ka naman noon pa
bikol,Pinalo niya ang bata ng sinturon pagkatapos tawagin na bobo,|PINALO|VBOF |NIYA|PRS |ANG|DTC |BATA|NNC |NG|CCB |SINTURON|NNC |PAGKATAPOS|VBW |TAWAGIN|VBOF |NA|CCP |BOBO|NNC,Pinalo niya ang bata ng sinturon pagkatapos tawagin na ****
tagalog,Siraulo ka wala ka talagang pakialam sa kapwa mo,|SIRAULO|NNP |KA|PRS |WALA|VBN |KA|PRS talagang|RBT|CCP |PAKIALAM|NNC |SA|CCT |KAPWA|PRI |MO|PRS,Siraulo ka wala ka talagang pakialam sa kapwa mo
tagalog,Lumakad ka agad eh hindi pa nga ako sumasakay bobo,|LUMAKAD|VBAF |KA|PRS |AGAD|RBW |EH|NNCA |HINDI|RBF |PA|RBI |NGA|RBI |AKO|PRS sumasakay|VBTR|VBAF |BOBO|RBD,Lumakad ka agad eh hindi pa nga ako sumasakay ****
cebuano,Tanga ka talaga hirap na hirap na akong intindihin ka,|TANGA|NNP |KA|PRS |TALAGA|RBT |HIRAP|JJD |NA|CCP |HIRAP|NNC |NA|CCP akong|PRS|CCP |INTINDIHIN|VBOF |KA|PRS,***** ka talaga ***** na ***** na akong intindihin ka
bikol,Palagi ka nananakit eh kung palagan kitang inutil ka,|PALAGI|RBW |KA|PRS |NANANAKIT|VBTR |EH|NNCA |KUNG|RBK |PALAGAN|RBQ kitang|RBD|CCP |INUTIL|VBOF |KA|PRS,Palagi ka nananakit eh kung palagan kitang inutil ka
bikol,Kinginang buhay ito hindi man lang makahanap ng jowa,Kinginang|NNP|CCP |BUHAY|NNC |ITO|PRO |HINDI|RBF |MAN|RBI |LANG|RBI |MAKAHANAP|VBW |NG|CCB |JOWA|NNC,Kinginang ***** ito hindi man lang makahanap ng jowa
cebuano,Puro ka pagpapanggap na alam mo eh tanga ka naman,|PURO|NNP |KA|PRS |PAGPAPANGGAP|NNC |NA|CCP |ALAM|VBS |MO|PRS |EH|NNCA |TANGA|JJD |KA|PRS |NAMAN|RBI,**** ka pagpapanggap na alam mo eh ***** ka naman
cebuano,Sana sinabi mo agad na puta ka para hinabaan ko pasensya ko,|SANA|VBS |SINABI|VBOF |MO|PRS |AGAD|RBW |NA|CCP |PUTA|NNC |KA|PRS |PARA|CCT |HINABAAN|VBOF |KO|PRS |PASENSYA|VBOF |KO|PRS,**** sinabi mo agad na **** ka para hinabaan ko pasensya ko
bikol,masaya doon sa labasan maraming tinda,|MASAYA|JJD |DOON|PRL |SA|CCT |LABASAN|NNC maraming|PRI|CCP |TINDA|NNC,masaya doon sa labasan maraming tinda
bikol,napaka ganda ng inyong kasuotan mga binibini,|NAPAKA|JJCS |GANDA|NNC |NG|CCB inyong|PRSP|CCP |KASUOTAN|NNC |MGA|DTCP |BINIBINI|NNC,napaka ganda ng inyong kasuotan mga binibini
tagalog,nag sayaw kami kagabi sa sayawan,|NAG|VBTS |SAYAW|NNC |KAMI|PRP |KAGABI|RBW |SA|CCT |SAYAWAN|NNC,nag sayaw kami kagabi sa sayawan
tagalog,napakaganda mo tangina,napakaganda|JJCS|JJD |MO|PRS |TANGINA|NNC,napakaganda mo *******
bikol,masaya doon sa labasan maraming tinda,|MASAYA|JJD |DOON|PRL |SA|CCT |LABASAN|NNC maraming|PRI|CCP |TINDA|NNC,masaya doon sa labasan maraming tinda
bikol,napaka ganda ng inyong kasuotan mga binibini,|NAPAKA|JJCS |GANDA|NNC |NG|CCB inyong|PRSP|CCP |KASUOTAN|NNC |MGA|DTCP |BINIBINI|NNC,napaka ganda ng inyong kasuotan mga binibini
tagalog,nag sayaw kami kagabi sa sayawan,|NAG|VBTS |SAYAW|NNC |KAMI|PRP |KAGABI|RBW |SA|CCT |SAYAWAN|NNC,nag sayaw kami kagabi sa sayawan
bikol,nanonood kami ng telebisyon kasama ang pamilya,|NANONOOD|VBTR |KAMI|PRP |NG|CCB |TELEBISYON|NNC |KASAMA|CCB |ANG|DTC |PAMILYA|NNC,nanonood kami ng telebisyon kasama ang pamilya
bikol,magandang gabi sa inyong lahat aalis na po ako,magandang|JJD|CCP |GABI|RBW |SA|CCT inyong|PRSP|CCP |LAHAT|PRI |AALIS|VBTF |NA|CCP |PO|RBS |AKO|PRS,magandang gabi sa inyong lahat aalis na po ako
tagalog,kumain na ako kaninang tanghali sapat na iyon,|KUMAIN|VBAF |NA|CCP |AKO|PRS kaninang|PRSP|CCP |TANGHALI|RBW |SAPAT|JJD |NA|CCP |IYON|PRO,kumain na ako kaninang tanghali sapat na iyon
cebuano,nakakabusog ang tinapay na iyon,|NAKAKABUSOG|VBTR |ANG|DTC |TINAPAY|NNC |NA|CCP |IYON|PRO,nakakabusog ang tinapay na iyon
tagalog,masaya akong nakilala kita at nakasama,|MASAYA|JJD akong|PRS|CCP |NAKILALA|VBTS |KITA|NNC |AT|CCA |NAKASAMA|VBTS,masaya akong nakilala kita at nakasama
tagalog,pumasok sila nang maaga sa opisina,|PUMASOK|VBAF |SILA|PRP |NANG|RBW |MAAGA|JJD |SA|CCT |OPISINA|NNC,pumasok sila nang maaga sa opisina
bikol,tumalon siya sa ilog Pasig,|TUMALON|VBAF |SIYA|PRS |SA|CCT |ILOG|NNC |PASIG|NNP,tumalon siya sa ilog Pasig
bikol,balikan mo na siya dahil hindi pa huli ang lahat,|BALIKAN|VBOF |MO|PRS |NA|CCP |SIYA|PRS |DAHIL|CCR |HINDI|RBF |PA|RBI |HULI|RBW |ANG|DTC |LAHAT|PRI,balikan mo na siya dahil hindi pa huli ang lahat
cebuano,subukan mo itong mamon na kasing lambot ng puso ko,|SUBUKAN|VBOF |MO|PRS itong|PRO|CCP |MAMON|NNC |NA|CCP |KASING|JJC |LAMBOT|JJD |NG|CCB |PUSO|NNC |KO|PRS,subukan mo itong mamon na kasing lambot ng puso ko
cebuano,Nagluto ako ng masarap na nilaga kanina,|NAGLUTO|VBTS |AKO|PRS |NG|CCB |MASARAP|JJD |NA|CCP |NILAGA|VBTS |KANINA|RBW,Nagluto ako ng masarap na nilaga kanina
tagalog,Tikman mo ang luto ko baka malimutan mo sarili mo,|TIKMAN|NNP |MO|PRS |ANG|DTC |LUTO|NNC |KO|PRS |BAKA|RBM |MALIMUTAN|VBW |MO|PRS |SARILI|NNC |MO|PRS,Tikman mo ang luto ko baka malimutan mo sarili mo
tagalog,bakit ganoon kababa ang tingin mo sa sarili mo,|BAKIT|PRQ |GANOON|PRC |KABABA|JJD |ANG|DTC |TINGIN|NNC |MO|PRS |SA|CCT |SARILI|NNC |MO|PRS,***** ganoon kababa ang tingin mo sa sarili mo
bikol,tangina ang bobo ng kaibigan ko,|TANGINA|JJD |ANG|DTC |BOBO|NNC |NG|CCB |KAIBIGAN|NNC |KO|PRS,******* ang **** ng kaibigan ko
bikol,tangina ka talaga wala ka na dapat dito sa mundo,|TANGINA|JJD |KA|PRS |TALAGA|RBT |WALA|VBN |KA|PRS |NA|CCP |DAPAT|VBS |DITO|PRL |SA|CCT |MUNDO|NNC,******* ka talaga wala ka na dapat dito sa mundo
bikol,umiiyak si Lottie dahil sa putangina niyang asawa,umiiyak|VBTR|VBAF |SI|DTP |LOTTIE|NNP |DAHIL|CCR |SA|CCT |PUTANGINA|NNC niyang|PRS|CCP |ASAWA|NNC,umiiyak si Lottie dahil sa ********* niyang asawa
cebuano,gago tumalon ka kasi agad kaya ka nalaglag,|GAGO|RBD tumalon|VBTS|VBAF |KA|PRS |KASI|CCR |AGAD|RBW |KAYA|CCR |KA|PRS |NALAGLAG|VBTS,**** tumalon ka kasi agad kaya ka nalaglag
bikol,Napaso siya sa kaldero dahil sa gago na tumulak sa kanya,|NAPASO|VBTS |SIYA|PRS |SA|CCT |KALDERO|NNC |DAHIL|CCR |SA|CCT |GAGO|NNC |NA|CCP |TUMULAK|VBAF |SA|CCT |KANYA|PRSP,Napaso siya sa kaldero dahil sa **** na tumulak sa kanya
tagalog,hindi iyan kinakain bobo ka talaga,|HINDI|RBF |IYAN|PRO kinakain|VBTR|VBOF |BOBO|JJD |KA|PRS |TALAGA|RBT,hindi **** kinakain **** ka talaga
tagalog,Paano mo nalaman eh tanga ka naman noon pa,|PAANO|PRQ |MO|PRS |NALAMAN|VBTS |EH|FW |TANGA|FW |KA|PRS |NAMAN|RBI |NOON|RBW |PA|RBI,Paano mo nalaman eh ***** ka naman noon pa
bikol,Pinalo niya ang bata ng sinturon pagkatapos tawagin na bobo,|PINALO|VBOF |NIYA|PRS |ANG|DTC |BATA|NNC |NG|CCB |SINTURON|NNC |PAGKATAPOS|VBW |TAWAGIN|VBOF |NA|CCP |BOBO|NNC,Pinalo niya ang bata ng sinturon pagkatapos tawagin na ****
tagalog,Siraulo ka wala ka talagang pakialam sa kapwa mo,|SIRAULO|NNP |KA|PRS |WALA|VBN |KA|PRS talagang|RBT|CCP |PAKIALAM|NNC |SA|CCT |KAPWA|PRI |MO|PRS,Siraulo ka wala ka talagang pakialam sa kapwa mo
tagalog,Lumakad ka agad eh hindi pa nga ako sumasakay bobo,|LUMAKAD|VBAF |KA|PRS |AGAD|RBW |EH|NNCA |HINDI|RBF |PA|RBI |NGA|RBI |AKO|PRS sumasakay|VBTR|VBAF |BOBO|RBD,Lumakad ka agad eh hindi pa nga ako sumasakay ****
cebuano,Tanga ka talaga hirap na hirap na akong intindihin ka,|TANGA|NNP |KA|PRS |TALAGA|RBT |HIRAP|JJD |NA|CCP |HIRAP|NNC |NA|CCP akong|PRS|CCP |INTINDIHIN|VBOF |KA|PRS,***** ka talaga ***** na ***** na akong intindihin ka
bikol,Palagi ka nananakit eh kung palagan kitang inutil ka,|PALAGI|RBW |KA|PRS |NANANAKIT|VBTR |EH|NNCA |KUNG|RBK |PALAGAN|RBQ kitang|RBD|CCP |INUTIL|VBOF |KA|PRS,Palagi ka nananakit eh kung palagan kitang inutil ka
bikol,Kinginang buhay ito hindi man lang makahanap ng jowa,Kinginang|NNP|CCP |BUHAY|NNC |ITO|PRO |HINDI|RBF |MAN|RBI |LANG|RBI |MAKAHANAP|VBW |NG|CCB |JOWA|NNC,Kinginang ***** ito hindi man lang makahanap ng jowa
cebuano,Puro ka pagpapanggap na alam mo eh tanga ka naman,|PURO|NNP |KA|PRS |PAGPAPANGGAP|NNC |NA|CCP |ALAM|VBS |MO|PRS |EH|NNCA |TANGA|JJD |KA|PRS |NAMAN|RBI,**** ka pagpapanggap na alam mo eh ***** ka naman
cebuano,Sana sinabi mo agad na puta ka para hinabaan ko pasensya ko,|SANA|VBS |SINABI|VBOF |MO|PRS |AGAD|RBW |NA|CCP |PUTA|NNC |KA|PRS |PARA|CCT |HINABAAN|VBOF |KO|PRS |PASENSYA|VBOF |KO|PRS,**** sinabi mo agad na **** ka para hinabaan ko pasensya ko
bikol,tangina ka talaga wala ka na dapat dito sa mundo,|TANGINA|JJD |KA|PRS |TALAGA|RBT |WALA|VBN |KA|PRS |NA|CCP |DAPAT|VBS |DITO|PRL |SA|CCT |MUNDO|NNC,******* ka ****** wala ka na dapat dito sa mundo
tagalog,pukingina mo kang bata ka,|PUKINGINA|JJCC |MO|PRS kang|PRS|CCP |BATA|NNC |KA|PRS,pukingina mo kang bata ka
bikol,how are you,|HOW|FW |ARE|DTC |YOU|FW,how are you
bikol,kumusta na ang tangang yan,|KUMUSTA|VBAF |NA|RBI |ANG|DTC tangang|NNC|CCP |YAN|PRO,kumusta na ang tangang yan
tagalog,talaga ba sabi mo yan eh,|TALAGA|RBT |BA|RBI |SABI|VBS |MO|PRS |YAN|PRO |EH|NNCA,talaga ba **** mo yan **
bikol,lininaniya kauragon kang maray,|LININANIYA|VBTR |KAURAGON|NNC kang|PRS|CCP |MARAY|NNC,********** ******** kang maray
tagalog,putangina ninyong lahat lalo kana,|PUTANGINA|JJCC ninyong|JJD|CCP |LAHAT|PRI |LALO|JJCC |KANA|NNC,********* ninyong lahat lalo kana
tagalog,bobo mo talaga kahit kailan,|BOBO|JJD |MO|PRS |TALAGA|RBT |KAHIT|CCT |KAILAN|PRQ,**** mo talaga ***** kailan
tagalog,yawa bilat burat,|YAWA|FW |BILAT|FW |BURAT|FW,**** bilat burat
tagalog,madaming buni yung babae,madaming|PRI|CCP |BUNI|NNC |YUNG|PRO |BABAE|NNC,madaming buni **** babae
tagalog,madaming buni yung babae,madaming|PRI|CCP |BUNI|NNC |YUNG|PRO |BABAE|NNC,madaming buni yung babae
bikol,ang haba ng kanyang paa,|ANG|DTC |HABA|NNC |NG|CCB kanyang|PRSP|CCP |PAA|NNC,ang haba ng kanyang paa
cebuano,ang hirap mong mahalin tama na,|ANG|DTC |HIRAP|NNC mong|PRS|CCP |MAHALIN|VBW |TAMA|JJD |NA|CCP,ang ***** mong mahalin tama na
cebuano,ayoko na sayo mali na naman,|AYOKO|JJD |NA|CCP |SAYO|PRSP |MALI|JJD |NA|CCP |NAMAN|RBI,ayoko na sayo mali na *****
bikol,gago ka tabi ka jan mabibigwasan ka,|GAGO|RBD |KA|PRS |TABI|NNC |KA|PRS |JAN|FW |MABIBIGWASAN|FW |KA|PRS,**** ka tabi ka *** mabibigwasan ka
bikol,tangina nung mga hindi makuntento sa isa,|TANGINA|NNC |NUNG|RBW |MGA|DTCP |HINDI|RBF |MAKUNTENTO|VBW |SA|CCT |ISA|PRI,******* **** mga hindi makuntento sa isa
tagalog,gandang babae na lalaki pumorma puta,gandang|JJD|CCP |BABAE|NNC |NA|CCP |LALAKI|NNC |PUMORMA|VBAF |PUTA|NNC,gandang babae na lalaki pumorma ****
bikol,talang magatol sa payo ang hayop na ini,talang|NNC|CCP |MAGATOL|JJD |SA|CCT |PAYO|NNC |ANG|DTC |HAYOP|NNC |NA|CCP |INI|FW,talang magatol sa payo ang ***** na ini
=======
bikol,puta ka talagang bata ka,"['|PUTA|NNC', '|KA|PRS', 'talagang|RBT|CCP', '|BATA|NNC', '|KA|PRS']",puta ka talagang bata ka
bikol,puta ka talagang bata ka,"['|PUTA|NNC', '|KA|PRS', 'talagang|RBT|CCP', '|BATA|NNC', '|KA|PRS']",puta ka talagang bata ka
bikol,tanga mo talagang bata ka,"['|TANGA|JJD', '|MO|PRS', 'talagang|RBT|CCP', '|BATA|NNC', '|KA|PRS']",tanga mo talagang bata ka
tagalog,huy para kayong tanga seryoso ba ito,"['|HUY|FW', '|PARA|CCT', 'kayong|NNC|CCP', '|TANGA|JJD', '|SERYOSO|JJD', '|BA|RBI', '|ITO|PRO']",*****  kayong *****   
tagalog,ganda mo lagi parang bulaklak,"['|GANDA|NNC', '|MO|PRS', '|LAGI|RBW', '|PARANG|CCT', '|BULAKLAK|NNC']",ganda mo lagi parang bulaklak
tagalog,pakyu hindi nga kasi ako yun,"['|PAKYU|CCT', '|HINDI|RBF', '|NGA|RBI', '|KASI|CCR', '|AKO|PRS', '|YUN|PRO']",pakyu hindi nga kasi ako yun
tagalog,tangina ng kidlat gago tarantado,"['|TANGINA|JJD', '|NG|CCB', '|KIDLAT|NNC', '|GAGO|NNC', '|TARANTADO|NNC']",tangina ng kidlat gago tarantado
tagalog,pangit mo bata,"['|PANGIT|JJD', '|MO|PRS', '|BATA|NNC']",*****  
tagalog,nagugutom ako punyeta,"['|NAGUGUTOM|VBTR', '|AKO|PRS', '|PUNYETA|NNC']",nagugutom ako punyeta
tagalog,nagugutom ako punyeta,"['|NAGUGUTOM|VBTR', '|AKO|PRS', '|PUNYETA|NNC']",nagugutom ako punyeta
tagalog,nagugutom ako punyeta,"['|NAGUGUTOM|VBTR', '|AKO|PRS', '|PUNYETA|NNC']",nagugutom ako punyeta
bikol,putangina mo bitch mang aagaw ka,"['|PUTANGINA|JJCC', '|MO|PRS', '|BITCH|FW', 'mang|RBI|CCP', '|AAGAW|VBTF', '|KA|PRS']",putangina mo bitch mang aagaw ka
tagalog,tanga ka talaga kahit kailan,"['|TANGA|JJD', '|KA|PRS', '|TALAGA|RBT', '|KAHIT|CCT', '|KAILAN|PRQ']",*****    
tagalog,ang ganda talaga ni tisha,"['|ANG|DTC', '|GANDA|NNC', '|TALAGA|RBT', '|NI|DTP', '|TISHA|NNC']",ang ganda talaga ni tisha
tagalog,ganda mo talaga lagi,"['|GANDA|NNC', '|MO|PRS', '|TALAGA|RBT', '|LAGI|RBW']",ganda mo talaga lagi
tagalog,asan kana namang bata ka,"['|ASAN|RBR', '|KANA|NNC', 'namang|RBI|CCP', '|BATA|NNC', '|KA|PRS']",asan kana namang bata ka
tagalog,nagugutom ako punyeta,"['|NAGUGUTOM|VBTR', '|AKO|PRS', '|PUNYETA|NNC']",nagugutom ako punyeta
tagalog,san ka pupunta,"['|SAN|RBQ', '|KA|PRS', '|PUPUNTA|VBTF']",*****
tagalog,asan ka na naman pupunta,"['|ASAN|RBR', '|KA|PRS', '|NA|CCP', '|NAMAN|RBI', '|PUPUNTA|VBTF']",*****
tagalog,asan kana naman,"['|ASAN|RBR', '|KANA|NNC', '|NAMAN|RBI']",asan kana naman
bikol,putangina mo ka,"['|PUTANGINA|JJCC', '|MO|PRS', '|KA|PRS']",putangina mo ka
bikol,tangina mo bata,"['|TANGINA|JJCC', '|MO|PRS', '|BATA|NNC']",tangina mo bata
tagalog,bwiset lagi nalang ganto,"['|BWISET|CCT', '|LAGI|RBW', '|NALANG|VBTS', '|GANTO|NNC']",*****
bikol,yudeputang buhay ini,"['yudeputang|VBTR|CCP', '|BUHAY|NNC', '|INI|FW']",yudeputang buhay ini
bikol,yudeputa ka pirmi na sana,"['yudeputa|VBTR|VBAF', '|KA|PRS', '|PIRMI|NNC', '|NA|CCP', '|SANA|VBS']",*****
bikol,patal ka kaya,"['|PATAL|JJD', '|KA|PRS', '|KAYA|CCR']",*****
cebuano,kolera kang dako,"['|KOLERA|NNC', 'kang|PRS|CCP', '|DAKO|NNC']",kolera kang dako
cebuano,yawa ka bai,"['|YAWA|RBM', '|KA|PRS', '|BAI|NNC']",*****
cebuano,& C:/Users/Annalyn/AppData/Local/Programs/Python/Python311/python.exe c:/Users/Annalyn/TAKLUBAN-FILIPINO-NATIVE-LANGUAGE-PROFANE-DETECTION/main.py,"['|&|PMS', '|C:/USERS/ANNALYN/APPDATA/LOCAL/PROGRAMS/PYTHON/PYTHON311/PYTHON.EXE|NNP', '|C:/USERS/ANNALYN/TAKLUBAN-FILIPINO-NATIVE-LANGUAGE-PROFANE-DETECTION/MAIN.PY|FW']",& C:/Users/Annalyn/AppData/Local/Programs/Python/Python311/python.exe c:/Users/Annalyn/TAKLUBAN-FILIPINO-NATIVE-LANGUAGE-PROFANE-DETECTION/main.py
cebuano,gisuportahan niini ang lainlaing mga ihalas nga hayop,"['|GISUPORTAHAN|VBTR', '|NIINI|FW', '|ANG|DTC', 'lainlaing|NNC|CCP', '|MGA|DTCP', '|IHALAS|VBTF', '|NGA|RBI', '|HAYOP|NNC']",*****
tagalog,ang ganda ng mga bulaklak,"['|ANG|DTC', '|GANDA|NNC', '|NG|CCB', '|MGA|DTCP', '|BULAKLAK|NNC']",ang ganda ng mga bulaklak
cebuano,san ka na naman pupunta,"['|SAN|RBQ', '|KA|PRS', '|NA|CCP', '|NAMAN|RBI', '|PUPUNTA|VBTF']",san ka na naman pupunta
tagalog,mag mano ka muna bago umalis,"['|MAG|VBW', '|MANO|VBW', '|KA|PRS', '|MUNA|RBI', '|BAGO|RBW', '|UMALIS|VBAF']",mag mano ka muna bago umalis
tagalog,magandang umaga sainyong lahat,"['magandang|JJD|CCP', '|UMAGA|RBW', '|SAINYONG|RBW', '|LAHAT|PRI']",magandang umaga sainyong lahat
bikol,yudeputang buhay ini,"['yudeputang|VBTR|CCP', '|BUHAY|NNC', '|INI|FW']",yudeputang buhay ini
bikol,kumusta kana jan,"['|KUMUSTA|VBAF', '|KANA|JJD', '|JAN|NNC']",kumusta kana jan
cebuano,san ka pumuntang bata ka,"['|SAN|RBQ', '|KA|PRS', 'pumuntang|VBAF|CCP', '|BATA|NNC', '|KA|PRS']",san ka pumuntang bata ka
bikol,yudeputang pakaurag kang buhay,"['yudeputang|VBTR|VBAF', '|PAKAURAG|JJD', 'kang|PRS|CCP', '|BUHAY|NNC']",yudeputang pakaurag kang buhay
bikol,yudeputang pakaurag kang buhay,"['yudeputang|VBTR|VBAF', '|PAKAURAG|JJD', 'kang|PRS|CCP', '|BUHAY|NNC']",yudeputang pakaurag kang buhay
tagalog,nakakainis naman tong ginagawa ko,"['|NAKAKAINIS|VBTR', '|NAMAN|RBI', '|TONG|RBD', 'ginagawa|VBTR|VBOF', '|KO|PRS']",*****
bikol,puta pahirap sa buhay,"['|PUTA|JJD', '|PAHIRAP|RBD', '|SA|CCT', '|BUHAY|NNC']",*****
bikol,san ka na naman nag putang bwiset ka,"['|SAN|RBQ', '|KA|PRS', '|NA|CCP', '|NAMAN|RBI', 'nag|PRSP|CCP', 'putang|NNC|CCP', '|BWISET|FW', '|KA|PRS']",*****
cebuano,yawa ka bai,"['|YAWA|RBM', '|KA|PRS', '|BAI|NNC']",*****
tagalog,san ka pupunta,"['|SAN|RBQ', '|KA|PRS', '|PUPUNTA|VBTF']",*****
bikol,puta ka talaga,"['|PUTA|NNC', '|KA|PRS', '|TALAGA|RBT']",*****
tagalog,ang tanga mo talaga,"['|ANG|DTC', '|TANGA|JJD', '|MO|PRS', '|TALAGA|RBT']",*****
tagalog,bobo ni boy,"['|BOBO|JJD', '|NI|DTP', '|BOY|FW']",*****
tagalog,tanga mo kahit kailan,"['|TANGA|JJD', '|MO|PRS', '|KAHIT|CCT', '|KAILAN|PRQ']",*****
bikol,yudeputang pakaurag kang buhay,"['yudeputang|VBTR|VBAF', '|PAKAURAG|JJD', 'kang|PRS|CCP', '|BUHAY|NNC']",yudeputang pakaurag kang buhay
bikol,punyetang mga aki ini,"['punyetang|JJD|CCP', '|MGA|DTCP', '|AKI|NNC', '|INI|FW']",punyetang mga aki ini
bikol,bulininaniyang pakaurag kang mga hamag na ini,"['bulininaniyang|NNC|CCP', '|PAKAURAG|JJD', 'kang|PRS|CCP', '|MGA|DTCP', '|HAMAG|NNC', '|NA|CCP', '|INI|FW']",*****
bikol,lose lamang kang hamag na an,"['|LOSE|FW', '|LAMANG|RBI', 'kang|PRS|CCP', '|HAMAG|JJD', '|NA|RBI', '|AN|DTC']",lose lamang kang hamag na an
bikol,yudeputa ka,"['yudeputa|VBTR|VBAF', '|KA|PRS']",*****
cebuano,san kana,"['|SAN|RBQ', '|KANA|NNC']",san kana
bikol,padabaon taka,"['|PADABAON|RBW', '|TAKA|NNC']",*****
bikol,burat ka talaga,"['|BURAT|FW', '|KA|PRS', '|TALAGA|RBT']",*****
tagalog,puta nakakainis ka,"['|PUTA|NNC', '|NAKAKAINIS|VBTR', '|KA|PRS']",*****
tagalog,nakakainis naman eh,"['|NAKAKAINIS|VBTR', '|NAMAN|RBI', '|EH|NNCA']",*****
tagalog,san ka pumunta kaninang umaga,"['|SAN|RBQ', '|KA|PRS', '|PUMUNTA|VBAF', '|KANINANG|RBW', '|UMAGA|RBW']",*****
tagalog,asan kana namang bata ka,"['|ASAN|RBR', '|KANA|NNC', 'namang|RBI|CCP', '|BATA|NNC', '|KA|PRS']",asan kana namang bata ka
tagalog,she said never in your wildest dreams,"['|SHE|FW', '|SAID|FW', '|NEVER|FW', '|IN|FW', '|YOUR|FW', '|WILDEST|FW', '|DREAMS|FW']",*****
bikol,burat,['|BURAT|NNC'],burat
tagalog,ang burat mo ay malaki,"['|ANG|DTC', '|BURAT|FW', '|MO|PRS', '|AY|LM', '|MALAKI|JJD']",ang burat mo ay malaki
tagalog,ganda mo bossing ah,"['|GANDA|NNC', '|MO|PRS', '|BOSSING|FW', '|AH|FW']",ganda mo bossing ah
tagalog,ang ganda mo tangina,"['|ANG|DTC', '|GANDA|NNC', '|MO|PRS', '|TANGINA|NNC']",*****
cebuano,nakaitim siya,"['|NAKAITIM|VBTS', '|SIYA|PRS']",nakaitim siya
cebuano,siya ay tumalon sa taas,"['|SIYA|PRS', '|AY|LM', '|TUMALON|VBAF', '|SA|CCT', '|TAAS|NNC']",siya ay tumalon sa taas
tagalog,gagi ang lakas mo naman,"['|GAGI|JJD', '|ANG|DTC', '|LAKAS|NNC', '|MO|PRS', '|NAMAN|RBI']",gagi ang lakas mo naman
tagalog,baliw ka ba,"['|BALIW|JJD', '|KA|PRS', '|BA|RBI']",baliw ka ba
tagalog,ang galing mong puta ka,"['|ANG|DTC', '|GALING|RBL', 'mong|PRS|CCP', '|PUTA|NNC', '|KA|PRS']",*****
tagalog,siya ay mukhang burat,"['|SIYA|PRS', '|AY|LM', '|MUKHANG|RBM', '|BURAT|NNC']",*****
bikol,kumusta ka jan sa maynila,"['kumusta|VBTS|VBAF', '|KA|PRS', '|JAN|NNC', '|SA|CCT', '|MAYNILA|NNC']",kumusta ka jan sa maynila
tagalog,asan ka na namang puta ka,"['|ASAN|RBR', '|KA|PRS', '|NA|CCP', 'namang|RBI|CCP', '|PUTA|NNC', '|KA|PRS']",*****
tagalog,bwakanang bitch,"['bwakanang|JJD|CCP', '|BITCH|NNC']",*****
bikol,tangina mo bitch,"['|TANGINA|JJCC', '|MO|PRS', '|BITCH|NNC']",*****
bikol,fuck ang trabaho,"['|FUCK|FW', '|ANG|DTC', '|TRABAHO|NNC']",*****
cebuano,yawa man bai,"['|YAWA|FW', '|MAN|FW', '|BAI|FW']",*****
cebuano,buang na si bai,"['|BUANG|JJD', '|NA|CCP', '|SI|DTP', '|BAI|NNP']",*****
bikol,tangina mo ka,"['|TANGINA|JJCC', '|MO|PRS', '|KA|PRS']",******* ** **
bikol,tangina mo ka,"['|TANGINA|JJCC', '|MO|PRS', '|KA|PRS']",******* ** **
bikol,tangina mo ka,"['|TANGINA|JJCC', '|MO|PRS', '|KA|PRS']",******* ** **
cebuano,hayop ka ginago mo ako,"['|HAYOP|RBF', '|KA|PRS', '|GINAGO|VBOF', '|MO|PRS', '|AKO|PRS']",***** ** ****** ** ***
cebuano,ang ganda mo bossin,"['|ANG|DTC', '|GANDA|NNC', '|MO|PRS', '|BOSSIN|VBOF']",ang ganda mo bossin
bikol,tangina mo,"['|TANGINA|RBW', '|MO|PRS']",******* **
cebuano,itim ang suot nila,"['|ITIM|JJD', '|ANG|DTC', '|SUOT|JJD', '|NILA|PRP']",itim ang suot nila
cebuano,itim ang titi,"['|ITIM|JJD', '|ANG|DTC', '|TITI|NNC']",**** *** ****
tagalog,never mind ill find someone like you,"['|NEVER|FW', '|MIND|FW', '|ILL|FW', '|FIND|FW', '|SOMEONE|FW', '|LIKE|FW', '|YOU|FW']",***** **** *** **** ******* **** ***
tagalog,dont forgive me,"['|DONT|FW', '|FORGIVE|FW', '|ME|FW']",**** ******* **
tagalog,nothings gonna stop me but divine intervention,"['|NOTHINGS|FW', '|GONNA|FW', '|STOP|FW', '|ME|FW', '|BUT|FW', '|DIVINE|FW', '|INTERVENTION|FW']",******** ***** **** ** *** ****** ************
cebuano,ang ganda mo naman,"['|ANG|DTC', '|GANDA|NNC', '|MO|PRS', '|NAMAN|RBI']",ang ganda mo naman
tagalog,asan kana,"['|ASAN|RBW', '|KANA|NNC']",asan kana
bikol,tanginang yan,"['tanginang|NNC|CCP', '|YAN|PRO']",********* ***
